collaboration,description,difficulty,duration_hours,duration_weeks,free,id_course,n_reviews,new,rating,school,skills,title,url
Google,,intermediate,,"Approx., ,2, ,months, ",[False],ud940,,[True],,School of Programming & Development,"Kotlin, Android",Advanced Android with Kotlin,https://www.udacity.com/course/advanced-android-with-kotlin--ud940
,,intermediate,,"Approx., ,1, ,weeks, ",[True],ud303,,[False],,School of Programming & Development,"HTTP, Python, Deploying services",HTTP & Web Servers,https://www.udacity.com/course/http-web-servers--ud303
,,intermediate,,"Approx., ,4, ,weeks, ",[True],ud117,,[False],,School of Programming & Development,,JavaScript and the DOM,https://www.udacity.com/course/javascript-and-the-dom--ud117
Georgia Institute of Technology,,advanced,,"Approx., ,4, ,months, ",[True],ud281,,[False],,School of Programming & Development,"Shared Memory Models, Parallel Algorithms, Distributed Memory Models, Message Passing Interfaces, Hierarchical Memory Models",High Performance Computing,https://www.udacity.com/course/high-performance-computing--ud281
Georgia Institute of Technology,,intermediate,,"Approx., ,16, ,weeks, ",[True],ud404,,[False],,School of Data Science,"R, Data Analysis, Data Visualization, Regression",Data Analysis and Visualization,https://www.udacity.com/course/data-analysis-and-visualization--ud404
,,,,"Approx., ,16, ,weeks, ",[True],ud199,,[False],,School of Programming & Development,Georgia Institute of Technology,Network Security,https://www.udacity.com/course/network-security--ud199
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud171,,[False],,School of Programming & Development,"User Input, Producing templated output, Databases and data stores, Secure user account systems",Intro to Backend,https://www.udacity.com/course/intro-to-backend--ud171
Nutanix,,advanced,,"Approx., ,3, ,weeks, ",[True],ud611,,[False],,School of Programming & Development,"DevOps, CAMS principles, Continuous Integration, Delivery workflows",Intro to DevOps,https://www.udacity.com/course/intro-to-devops--ud611
Google,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud864,,[False],,School of Programming & Development,"Google Maps APIs, Static Maps, Street View imagery, monitoring API usage",Google Maps APIs,https://www.udacity.com/course/google-maps-apis--ud864
Grow With Google,,beginner,,"Approx., ,1, ,week, ",[False],ud242,,[True],,Career Advancement,"Personal branding, LinkedIn, Networking, Career Advancement",Strengthen Your LinkedIn Network & Brand,https://www.udacity.com/course/strengthen-your-linkedin-network-and-brand--ud242
,,advanced,,"Approx., ,3, ,months, ",[True],ud607,,[False],,School of Programming & Development,"iOS, Ideation and Research, UI, App Store",How to Make an iOS App,https://www.udacity.com/course/how-to-make-an-ios-app--ud607
,,beginner,,"Approx., ,1, ,week, ",[False],ud034,,[True],,Career Advancement,"Product Management, Interview Preparation, Career Advancement, Product Strategy, Technical Interview",Product Manager Interview Preparation,https://www.udacity.com/course/product-manager-interview-preparation--ud034
Upwork,,beginner,,"Approx., ,1, ,hour, ",[False],ud942,,[True],,School of Business,"Team Management, Workforce Training, Business Strategy, Agile Management, Remote Work",Managing Remote Teams with Upwork,https://www.udacity.com/course/managing-remote-teams-with-upwork--ud942
Google,,intermediate,,"Approx., ,4, ,weeks, ",[True],ud862,,[False],,School of Programming & Development,"Android Development, Material Design, Surfaces, Graphic Design",Material Design for Android Developers,https://www.udacity.com/course/material-design-for-android-developers--ud862
," This class will teach you the end-to-end process of investigating data through a machine learning lens. Learn online, with Udacity. ",intermediate,, Approx. 10 Weeks ,[True],ud120,,[False],,School of Artificial Intelligence,"Machine Learning, Supervised Learning, Unsupervised Learning, Evaluation Metrics, Data Manipulation",Introduction to Machine Learning Course,https://www.udacity.com/course/intro-to-machine-learning--ud120
San Jose State University,,beginner,,"Approx., ,4, ,months, ",[True],ps001,,[False],,School of Programming & Development,"Pyschology, Research Methods, Biology",Intro to Psychology,https://www.udacity.com/course/intro-to-psychology--ps001
Amazon Appstore for Android,,beginner,,"Approx., ,3, ,weeks, ",[True],ud407,,[False],,School of Programming & Development,"Game Development, Monetization, Engagement",Engagement & Monetization | Mobile Games,https://www.udacity.com/course/engagement-monetization-mobile-games--ud407
,,,,"Approx., ,1, ,weeks, ",[True],ud357,,[False],,School of Programming & Development,Facebook for Developers,Passwordless Login Solutions for Android,https://www.udacity.com/course/passwordless-login-solutions-for-android--ud357
Facebook for Developers,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud358,,[False],,School of Programming & Development,"Android, Mobile Design, Usability",Mobile Design and Usability for Android,https://www.udacity.com/course/mobile-design-and-usability-for-android--ud358
,,,,"Approx., ,4, ,months, ",[True],ud600,,[False],,School of Artificial Intelligence,Georgia Institute of Technology,Reinforcement Learning,https://www.udacity.com/course/reinforcement-learning--ud600
Google,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud806,,[False],,School of Business,"Entrepreneurship, Bootstrapping",Get Your Startup Started,https://www.udacity.com/course/get-your-startup-started--ud806
,,,,"Approx., ,1, ,weeks, ",[True],ud299,,[False],,School of Programming & Development,,Configuring Linux Web Servers,https://www.udacity.com/course/configuring-linux-web-servers--ud299
Google,,intermediate,,"Approx., ,2, ,days, ",[True],ud354,,[False],,School of Programming & Development,"Android Development, Firebase, Analytics",Firebase Analytics: Android,https://www.udacity.com/course/firebase-analytics-android--ud354
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud210,,[False],,School of Programming & Development,"Pointers and Arrays, Control Flow, Object Oriented Programming, C++ Templates, C++ Standard Library",C++ For Programmers,https://www.udacity.com/course/c-for-programmers--ud210
Grow With Google,,intermediate,,"Approx., ,1, ,week, ",[False],ud251,,[True],,Career Advancement,"Interview practice, Common VR Questions, Whiteboarding, Career Advancement",VR Interview Prep,https://www.udacity.com/course/vr-interview-prep--ud251
," Take your first steps towards becoming a Java developer! Learn Java syntax and create conditional statements, loops, and functions. ",beginner,, Approx. 6 Weeks ,[True],ud282,,[False],,School of Programming & Development,"Java Programming, Java Syntax, Java Functions, Loops",Java Programming Basics,https://www.udacity.com/course/java-programming-basics--ud282
,,advanced,,"Approx., ,2, ,months, ",[True],cs387,,[False],,School of Programming & Development,"Cryptography, Ciphers, Encryption",Applied Cryptography,https://www.udacity.com/course/applied-cryptography--cs387
Insight,,intermediate,,"Approx., ,10, ,hours, ",[False],ud2002,,[True],,School of Data Science,"Spark, SparkSQL, Spark Dataframes, Data Wrangling, Machine Learning",Spark,https://www.udacity.com/course/learn-spark-at-udacity--ud2002
Salesforce,,beginner,,"Approx., ,1, ,months, ",[True],ud162,,[False],,School of Programming & Development,"Salesforce App Development, Schema Building, Data Modeling",Intro to Point & Click App Development,https://www.udacity.com/course/intro-to-point-click-app-development--ud162
Google,,intermediate,,"Approx., ,2, ,days, ",[True],ud0351,,[False],,School of Programming & Development,Android Development,Firebase in a Weekend: iOS,https://www.udacity.com/course/firebase-in-a-weekend-by-google-ios--ud0351
Georgia Institute of Technology,,intermediate,,"Approx., ,16, ,weeks, ",[True],ud169,,[False],,School of Programming & Development,"VLIW Architecture, Compilers for Embedded Systems, Differential Register Allocation, Network Processors, Multithreaded Processing",Embedded Systems,https://www.udacity.com/course/embedded-systems--ud169
,,intermediate,,"Approx., ,1, ,weeks, ",[True],ud272,,[False],,School of Programming & Development,"App Deployment, Heroku",Deploying Applications with Heroku,https://www.udacity.com/course/deploying-applications-with-heroku--ud272
Facebook AI,,intermediate,,"Approx., ,2, ,months, ",[False],ud188,,[True],,School of Artificial Intelligence,"Deep Learning, PyTorch, Neural Networks, CNNs, LSTMs, Style Transfer",Intro to Deep Learning with PyTorch,https://www.udacity.com/course/deep-learning-pytorch--ud188
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud109,,[False],,School of Programming & Development,"Asynchronous Data Retrieval, Ajax with XHR, Ajax with jQuery, Ajax with Fetch",Asynchronous JavaScript Requests,https://www.udacity.com/course/asynchronous-javascript-requests--ud109
