title,description
firebase analytics: android,"in this course, you’ll learn how to grow an app's user base using firebase analytics, a free and unlimited analytics solution. you'll be able to learn who your users are and how they interact with your app. you can then use this information to make informed decisions to improve your app, such as how difficult to make a level in a game, where to place an advertisement, or what products to stock.,we'll begin by covering the basics of digital analytics focusing on an app that is live in the app store and google play store as an example. you'll then explore the app's actual usage data using the firebase console. after that, you'll learn how easy it is to add firebase analytics to an app and quickly gain insights. finally, you'll learn how to use firebase crash reporting, firebase remote config, and firebase dynamic links integrated with firebase analytics to improve your app and grow your user base.,by the end of this course you'll have an app that records how users interact with it, and you'll know how use that data to improve performance. you'll have the foundation needed to apply firebase analytics to your own apps."
javascript and the dom,"javascript is an extremely powerful programming language. one place where its power truly shines is using it to control a web page. through this course, you'll learn about the document object model (dom), how it's created, and what capabilities it provides. then you'll use javascript and the dom to add, delete, or alter page content; control page styling, and respond to user actions."
mobile design and usability for android,"featuring facebook's experts in user research and product design, this course walks you through the steps to design a new mobile product that puts users first. you'll learn how to use data collected from users to guide prototyping, and conduct user testing with a production app to guide a future redesign."
network security,"the summary for this course comes from the ,. note that watching this course on udacity does not count for georgia tech credit unless you are enrolled in the , program.,this course provides an introduction to computer and network security. students successfully completing this class will be able to evaluate works in academic and commercial security, and will have rudimentary skills in security research. the course begins with a tutorial of the basic elements of cryptography, cryptanalysis, and systems security, and continues by covering a number of seminal papers and monographs in a wide range of security areas.,topics covered include network security, authentication, security protocol design and analysis, security modeling, trusted computing, key management, program safety, intrusion detection, ddos detection and mitigation, architecture/operating systems security, security policy, group systems, biometrics, web security, and other emerging topics.,most of the course readings will come from seminal papers in the field. links to these papers will be provided on the course pages. in addition, links to critical reference materials will also be provided."
c++ for programmers,"c++ for programmers is designed for students who are familiar with a programming language and wish to learn c++.,this course focuses on 'how' as opposed to 'what'. for example, in the lesson on functions, we do not teach what a function is, but rather how to create a function in c++.,the lessons are taught by several different instructors who have used c++ in their professional careers, so students get to experience different perspectives. ,the course also includes comments and tips from bjarne stroustrup - the original designer of c++."
applied cryptography,"cryptography is present in everyday life, from paying with a credit card to using the telephone. learn all about making and breaking puzzles in computing."
deploying applications with heroku,"this course will introduce you to web deployment platforms. you’ll begin by deploying your first web application to the heroku platform, making it publicly available on the internet. in the process, you will learn about the underlying mechanics of web hosting. you will also learn how to configure your app, from accessing log output to configuring environment variables."
intro to point & click app development,"this class teaches you how to build powerful web and mobile apps and host them in the cloud, without writing a line of code.,by the end of this short course, you'll use the skills you've developed to conceptualize and create your own app. to get you there, your instructors samantha and andy will first help you build an app that could be used to manage logistics at a music festival. though this is a very specific app use case, the skills you learn will be applicable to just about any business app you’d want to develop."
firebase in a weekend: ios,"in this course, you’ll learn how to use firebase. firebase is app development platform that provides developers a variety of tools and a scalable infrastructure to build high quality apps. ,we’ll begin by showing you how easy it is to read and write almost any data to firebase. after that, we’ll teach you how to allow users to login, have data associated with them and send them notifications. you’ll learn how to use firebase’s security and rules language to secure and add permissions to your data.,firebase remote config gives you the ability to tune and customize your app without having to publish a new version. finally we’ll give you a brief overview of firebase analytics so you can collect data from the start. ,got extra time this weekend? as a bonus, you will write your own cloud function for firebase that makes chat more fun by adding emojis to friendlychat conversations. cloud functions for firebase integrates the firebase platform by letting you write code that responds to events and invokes functionality exposed by other firebase features.,by the end of this course you will have an ios application that can store and share data between different users in real time as well as authenticate and authorize those users."
version control with git,"this course covers the essentials of using the version control system git. you'll be able to create a new git repo, commit changes, and review the commit history of an existing repo. you'll also learn how to keep your commits organized using tags and branches and you'll master the art of merging changes by crushing those pesky merge conflicts. oh no! was a mistake made along the way? learn how to edit commits, revert changes, or even delete commits."
java programming basics," take your first steps towards becoming a java developer! learn java syntax and create conditional statements, loops, and functions. "
intro to backend,"this course presents an overview of a variety of web backend topics: handling user input, producing templated output, storing information in databases and data stores, and building systems with secure user accounts."
passwordless login solutions for ios,"for an app developer, providing a seamless user experience is critical for building engagement and growing a user base. passwordless login solutions provide your users with a simple, secure, and positive first experience.,in this course, you'll learn two frameworks for sign-up and authentication: account kit, which uses a phone number and code, and facebook login for ios. you’ll learn how to configure both types of authentication side by side in a sample app, test the flow on a series of common use cases, and wrap things up with an introduction to facebook’s graph api, a window into an incredible wealth of data for creating a more engaging experience for your users."
advanced operating systems,"in this course, we will see all the advances that have led to the state-of-the-art operating system that we know today, covering variety of platforms -- cell phones, multi-core, parallel systems, distributed systems, and cloud computing."
"computability, complexity & algorithms","in this course, we will ask the big questions, ""what is a computer? what are the limits of computation? are there problems that no computer will ever solve? are there problems that can’t be solved quickly? what kinds of problems can we solve efficiently and how do we go about developing these algorithms?"" understanding the power and limitations of algorithms helps us develop the tools to make real-world computers smarter, faster and safer."
http & web servers,"this course is intended for budding full-stack web developers to master the basics of http, the protocol that underlies all web technology.,in this course, you'll explore http directly, talking with web servers and browsers by hand. you'll write and deploy low-level web applications in python. and you'll learn more about how http connects with other web technologies."
